phrase,frequency
સાથે,35246
કરવા,13695
કહ્યું,10661
લોકો,10310
કારણે,9753
મળી,8312
પોલીસ,7766
આવ્યા,7423
આવ્યો,7309
તેમના,7263
જેમાં,7262
કામ,7236
કરતા,7215
તેમણે,7084
કોરોના,7047
પોતાના,6823
અન્ય,6809
કરીને,6772
તથા,6743
દરમિયાન,6676
તમામ,6631
શરૂ,6543
વાત,6452
તરીકે,6388
જોવા,6209
કરો,6183
તેમજ,6153
વર્ષ,5982
આવશે,5914
આવ્યું,5767
સમય,5653
થશે,5516
વચ્ચે,5500
તેમની,5455
પહેલા,5413
ઉપયોગ,5298
સરકાર,5164
કરવાની,5124
આપવામાં,5111
કારણ,5006
દિવસ,5004
ત્રણ,4968
ટકા,4952
પોતાની,4892
કેટલાક,4667
મુજબ,4559
રહેશે,4481
પ્રથમ,4465
નવા,4443
શકો,4439
શકાય,4382
હાથ,4370
કેસ,4315
ખાતે,4301
પોલીસે,4278
લોકોને,4251
નવી,4231
બંધ,4230
તમારી,4223
ઘણા,4164
અલગ,4161
એટલે,4153
ભારત,4153
કરશે,4152
સામાન્ય,4130
ખાસ,4121
ભારતીય,4107
પાણી,4080
રોજ,4053
ઉપરાંત,3946
તપાસ,3944
વધારે,3938
કુલ,3934
ગુજરાત,3873
જરૂર,3828
સમયે,3806
રૂ,3802
મળે,3782
આવેલા,3732
લાખ,3728
જાહેર,3716
વિશે,3709
લઈ,3694
અનેક,3683
મોટા,3636
મોટી,3636
જેથી,3575
લઈને,3563
જોકે,3544
બીજી,3501
નામ,3490
રૂપિયા,3471
તરફ,3466
છેલ્લા,3419
દૂર,3390
તેમાં,3388
તૈયાર,3365
માહિતી,3339
પડી,3335
મુખ્ય,3263
મારી,3260
વિવિધ,3255
સારવાર,3247
જરૂરી,3222
કરોડ,3188
ફિલ્મ,3152
કોઇ,3143
દિવસે,3133
બીજા,3119
સમગ્ર,3118
વિસ્તારમાં,3093
ચાર,3082
નિર્ણય,3073
અમદાવાદ,3054
સહિત,3050
જેના,3036
મોત,3033
ઘણી,3032
આવતા,3026
વર્ષે,3024
પડે,3024
2,3010
રાજકોટ,2994
1,2990
પાંચ,2979
સતત,2970
સરકારે,2968
તેનો,2953
અનુસાર,2946
હોવાનું,2936
રોડ,2926
મળશે,2922
આવેલ,2884
ચૂંટણી,2867
મદદ,2862
વધારો,2831
3,2825
હાલ,2823
આપે,2822
ભારે,2821
10,2802
વખત,2790
"છે
",2763
વખતે,2751
ઓફ,2740
પડશે,2723
સારી,2705
મહિલા,2687
ટીમ,2683
જિલ્લા,2681
યોગ્ય,2674
હેઠળ,2656
જેવા,2648
આવા,2620
પહોંચી,2613
દેશમાં,2592
આમ,2590
વધી,2583
પટેલ,2582
દિલ્હી,2568
ચાલુ,2536
લગભગ,2528
ઘટના,2517
મારા,2480
કોંગ્રેસ,2460
આગામી,2457
5,2444
લગ્ન,2437
અસર,2427
કાર્યવાહી,2424
૧,2423
હજાર,2409
વરસાદ,2383
ભાગ,2381
જિલ્લામાં,2380
ચાલી,2369
બનાવી,2338
ગુજરાતમાં,2333
જશે,2333
સવારે,2333
લઇ,2332
ફરિયાદ,2332
પસંદ,2328
ભાજપ,2318
મોદી,2309
પ્રમુખ,2291
હાલમાં,2279
કરવાનો,2277
હોવાથી,2274
પાસેથી,2268
હજુ,2264
ઘરે,2258
4,2251
રાજ્યમાં,2236
લાગે,2234
આપવા,2232
રાજ્ય,2225
રહેતા,2224
પ્રમાણે,2216
પૂર્વ,2207
