phrase,frequency
पुलिस,37784
उन्होंने,36727
लोगों,36064
दी,31911
सरकार,31564
सिंह,28892
अब,28627
लेकर,27285
भारत,23951
समय,22156
दिन,21898
बात,21804
साल,21547
दौरान,20657
बार,20337
लोग,19125
काम,18848
दिल्ली,18760
देश,18731
लिया,18727
प्रदेश,18704
होगा,18259
मामले,17802
जाने,17719
शुरू,17685
रूप,17375
कोरोना,16909
जाता,16880
टीम,16493
क्षेत्र,16434
बीच,16433
आज,16232
कुमार,15933
नाम,15551
पास,15400
दोनों,15177
तीन,15139
कारण,14991
कांग्रेस,14420
हम,14305
कम,14206
जानकारी,14142
अन्य,14134
जाएगा,14108
आ,13919
खिलाफ,13766
वाली,13689
जांच,13681
किए,13657
जारी,13575
चुनाव,13483
फिल्म,13260
राज्य,13252
शामिल,13061
अधिक,13060
पार्टी,13037
देने,12980
विभाग,12951
चाहिए,12897
भारतीय,12868
रुपये,12772
गांव,12656
इससे,12495
हर,12212
काफी,12173
जिला,12122
पूर्व,12090
आपको,12033
लाख,11847
ज्यादा,11802
भाजपा,11595
मंत्री,11591
सामने,11492
तथा,11157
अगर,11154
क्या,11112
महिला,11073
होगी,11071
जिले,11061
आने,10927
दर्ज,10851
मोदी,10846
बारे,10822
नई,10638
मैं,10501
दे,10487
वो,10473
वर्ष,10438
पूरी,10436
अनुसार,10434
ले,10426
करीब,10270
पिछले,10207
मौत,10135
दिए,10049
मुख्यमंत्री,9912
अलग,9884
अलावा,9634
अस्पताल,9629
अध्यक्ष,9585
जबकि,9496
नगर,9456
अधिकारी,9425
हजार,9416
ऐसा,9270
जिसमें,9250
चार,9190
लगा,9158
10,9022
विकास,8992
हालांकि,8944
बजे,8896
कंपनी,8884
पानी,8810
दिनों,8629
परिवार,8605
मिल,8571
शहर,8534
सकती,8514
बनाने,8500
उत्तर,8435
केंद्र,8429
संख्या,8428
तहत,8380
आए,8350
पांच,8330
रात,8314
बंद,8281
चल,8194
करोड़,8135
दें,8114
आगे,8104
बैठक,8091
मांग,8083
कार्य,8049
कहना,8044
सुबह,8025
नए,8017
बाहर,8007
प्रधानमंत्री,7954
वजह,7933
जाएगी,7926
स्थित,7914
योजना,7897
आरोप,7885
स्वास्थ्य,7808
रिपोर्ट,7772
घटना,7756
मौके,7716
मीडिया,7685
कार्यक्रम,7674
मुताबिक,7672
जाती,7663
कार्रवाई,7642
इसलिए,7613
रुपए,7591
बना,7584
नेता,7583
हिंदी,7546
यादव,7530
क्योंकि,7465
बच्चों,7452
मुख्य,7448
2,7445
बता,7407
किसानों,7388
आई,7346
अधिकारियों,7336
रहने,7305
उसकी,7303
तैयार,7298
बैंक,7149
सुरक्षा,7062
वीडियो,7028
स्थिति,7024
नजर,7017
मिली,6985
निर्माण,6973
शर्मा,6969
जाए,6966
मंदिर,6960
ली,6943
थाना,6935
जिसके,6929
मदद,6923
पता,6874
मैच,6855
कोर्ट,6851
20,6800
जगह,6789
सूचना,6787
करेंगे,6778
स्कूल,6762
डॉ,6686
पहली,6685
सहित,6675
लेने,6674
परीक्षा,6666
निवासी,6587
आया,6550
