phrase,yake_score_lower_is_better
पुलिस,0.0065
लोगों,0.0066
उन्होंने,0.0069
सरकार,0.0077
लेकर,0.0102
सिंह,0.0098
भारत,0.012
दौरान,0.0139
साल,0.0131
बात,0.0129
दिन,0.0139
समय,0.0138
प्रदेश,0.0139
बार,0.0145
लोग,0.0139
काम,0.0143
दिल्ली,0.0135
लिया,0.0143
जाने,0.0158
मामले,0.0146
देश,0.0147
होगा,0.0151
टीम,0.0139
शुरू,0.0157
रूप,0.0151
कोरोना,0.0151
जाता,0.0153
क्षेत्र,0.0157
बीच,0.0163
कुमार,0.0141
नाम,0.0152
फिल्म,0.0136
जानकारी,0.0161
चुनाव,0.0148
रुपये,0.0158
पास,0.0153
अन्य,0.0163
कारण,0.017
कांग्रेस,0.0141
उत्तर प्रदेश,0.0137
पार्टी,0.0139
तीन,0.0159
जाएगा,0.0162
खिलाफ,0.0171
जांच,0.0154
चाहिए,0.0157
जारी,0.0159
किए,0.017
दोनों,0.0171
भाजपा,0.0154
वाली,0.0159
तथा,0.0138
राज्य,0.0153
भारतीय,0.0169
विभाग,0.0151
देने,0.0164
राज्य सरकार,0.0144
गांव,0.0147
शामिल,0.0162
इससे,0.0179
प्रदेश सरकार,0.0116
आपको,0.0127
ज्यादा,0.0166
केंद्र सरकार,0.014
मोदी,0.0145
मंत्री,0.0154
अधिक,0.0164
पूर्व,0.0183
मैं,0.0142
महिला,0.0156
अध्यक्ष,0.0164
भारत सरकार,0.0166
पानी,0.0144
अगर,0.0158
काफी,0.0177
दर्ज,0.0133
लाख,0.0153
दिल्ली पुलिस,0.0159
जिला,0.0164
दिल्ली सरकार,0.0165
मौत,0.0178
जिले,0.0181
बारे,0.0191
परीक्षा,0.0164
अधिकारी,0.0167
मांग,0.0182
अनुसार,0.0193
भारतीय जनता पार्टी,0.0158
अस्पताल,0.0168
आने,0.0168
रुपए,0.0171
होगी,0.0185
वीडियो,0.0097
कुमार सिंह,0.0132
योजना,0.0132
बंद,0.0134
बजे,0.0139
करोड़ रुपये,0.0141
श्री,0.0142
प्रधानमंत्री नरेंद्र मोदी,0.0145
नगर,0.0146
दिए,0.0149
गांधी,0.0157
सामने,0.016
कार्य,0.0163
बता दें,0.0172
बैठक,0.018
पूरी,0.0182
ऐसा,0.0184
यादव,0.0192
क्या,0.0201
सेक्सी,0.0043
सेक्सी वीडियो,0.0047
सेक्सी फिल्म,0.0059
फिल्म सेक्सी फिल्म,0.0063
सेक्सी फिल्म सेक्सी,0.0073
जिला शिक्षा अधिकारी,0.0081
रमेश,0.0087
स्कूल,0.0098
करोड़ रुपए,0.0101
प्रमाण पत्र,0.0102
आपके,0.0106
मोदी सरकार,0.0106
पत्र,0.0108
दौरान उन्होंने,0.0111
हिंदी,0.0114
गोल्ड,0.0115
आवेदन,0.012
उत्तर प्रदेश सरकार,0.0122
मेडिकल कालेज,0.0124
लाख रुपये,0.0128
बना,0.0129
उत्तर प्रदेश पुलिस,0.0132
न्यूज़ उत्तर प्रदेश,0.0156
नरेंद्र मोदी,0.0164
पुलिस टीम,0.0164
पांच,0.0171
हिंदी न्यूज़,0.0173
परिवार,0.0173
मुख्यमंत्री,0.0176
हजार रुपये,0.0176
करोड़,0.0177
मैच,0.0179
कोरोना संक्रमण,0.018
बैंक,0.018
चीन,0.0182
विधानसभा,0.0184
प्रतिशत,0.019
थाना क्षेत्र,0.0197
लगा,0.0198
सेक्सी मूवी सेक्सी,0.0009
मार्च,0.0014
मूवी सेक्सी सेक्सी,0.0014
फ़ायरवॉल गोल्ड,0.0014
Quora pArtner Program,0.0017
समाज,0.0022
अप्रैल,0.0022
फिल्म हिंदी सेक्सी,0.0023
उच्च रक्तचाप,0.0023
शब्द,0.0025
पास अंडर कन्स्ट्रकशन,0.0025
सेक्सी फिल्म हिंदी,0.0027
वीडियो सेक्सी मूवी,0.0027
फ़ायरवॉल,0.0031
प्रधानमंत्री आवास योजना,0.0031
हिंदी सेक्सी फिल्म,0.0034
अमरीक नाम,0.0035
न्याय,0.004
सेक्सी वीडियो हिंदी,0.0041
हिंदी सेक्सी वीडियो,0.0041
मूवी वीडियो सेक्सी,0.0041
हिंदी मूवी सेक्सी,0.0042
सेक्सी मूवी हिंदी,0.0042
अतिरिक्त पुलिस अधीक्षक,0.0043
Rajasthan Patwari,0.0043
हिंदी सेक्सी,0.0045
हिंदी फिल्म सेक्सी,0.0045
अर्थ,0.0045
वीडियो सेक्सी,0.0045
व्यक्ति,0.0049
पुलिस अधीक्षक,0.005
मूवी,0.005
वार्ड,0.0052
पीएम मोदी,0.0052
फ़ोन जिनकी कीमत,0.0054
पमाण पत्र,0.0054
अंडर कन्स्ट्रकशन,0.0057
पमाण पत्र जारी,0.0058
Rajasthan Patwari Bharti,0.0058
pArtner Program,0.0058
जीबी स्टोरेज फ़ोन,0.0059
वीडियो सेक्सी फिल्म,0.0061
उच्च,0.0061
प्रभारी अधिकारी नियुक्त,0.0062
इससे उच्च रक्तचाप,0.0062
रक्तचाप,0.0063
लाख रुपए,0.0063
निवास प्रमाण पत्र,0.0063
समय प्रबंधन,0.0063
आवास योजना,0.0063
